date,open,high,low,close,volume
2022/1/4,4957.984,4961.453,4874.534,4917.765,1515347.76
2022/1/5,4907.935,4916.282,4851.984,4868.12,1788161
2022/1/6,4842.156,4857.56,4786.433,4818.232,1576658.26
2022/1/7,4824.318,4856.652,4818.193,4822.369,1871394.13
2022/1/10,4812.23,4844.393,4780.819,4844.045,1562116.96
2022/1/11,4840.009,4850.879,4791.885,4797.774,1469280.04
2022/1/12,4818.89,4852.731,4810.919,4845.579,1432002.04
2022/1/13,4853.031,4853.063,4765.242,4765.919,1425196.53
2022/1/14,4743.912,4764.052,4723.943,4726.732,1468631.26
2022/1/17,4728.76,4775.239,4726.708,4767.276,1152956.91
2022/1/18,4766.781,4826.3,4747.92,4813.347,1508708.02
2022/1/19,4815.811,4828.752,4755.93,4780.378,1339273.6
2022/1/20,4778.262,4845.005,4777.568,4823.509,1649713.15
2022/1/21,4808.773,4818.305,4762.564,4779.314,1389525.85
2022/1/24,4753.941,4801.098,4746.448,4786.738,1144638.8
2022/1/25,4761.95,4781.391,4678.247,4678.451,1336675.86
2022/1/26,4697.099,4718.995,4648.128,4712.311,1070708.42
2022/1/27,4708.099,4708.436,4616.027,4619.877,1212638.04
2022/1/28,4641.814,4660.519,4559.833,4563.772,1264801.12
2022/2/7,4638.575,4672.654,4615.005,4634.09,1448497.2
2022/2/8,4626.437,4626.437,4522.471,4608.773,1558307.08
2022/2/9,4608.149,4659.461,4595.283,4652.061,1483355.47
2022/2/10,4657.211,4657.211,4608.091,4639.863,1515766.66
2022/2/11,4617.874,4662.596,4595.875,4601.395,1559745.84
2022/2/14,4579.42,4593.632,4530.057,4551.688,1436738.94
2022/2/15,4553.811,4601.453,4550.543,4600.103,1150256
2022/2/16,4619.846,4643.1,4607.218,4617.989,1072589.55
2022/2/17,4616.896,4650.159,4606.952,4629.165,1100146.43
2022/2/18,4604.567,4651.342,4598.1,4651.236,1045502.28
2022/2/21,4646.052,4646.672,4613.297,4634.314,1125165.12
2022/2/22,4601.918,4602.066,4550.804,4574.153,1233172.37
2022/2/23,4582.006,4625.298,4579.295,4623.047,1229529.16
2022/2/24,4592.069,4610.879,4488.476,4529.319,1844030.58
2022/2/25,4564.632,4611.86,4561.896,4573.425,1497225.83
2022/2/28,4563.743,4581.646,4530.676,4581.646,1354069.78
2022/3/1,4597.855,4623.431,4583.917,4619.686,1231392.2
2022/3/2,4594.017,4594.017,4558.442,4578.601,1132983.25
2022/3/3,4595.025,4599.397,4544.431,4551.628,1382858.77
2022/3/4,4513.364,4539.393,4481.493,4496.43,1272668.06
2022/3/7,4462.517,4462.517,4338.304,4352.778,1621977.06
2022/3/8,4361.642,4383.647,4252.539,4265.391,1678632.77
2022/3/9,4280.979,4304.482,4068.193,4226.346,1942329
2022/3/10,4326.204,4335.673,4288.508,4292.837,1452663.83
2022/3/11,4231.196,4316.044,4176.452,4306.522,1523999.21
